librechat-1  | Registered tool: GET::services__causeway.ext.auditTrail.AuditTrailMenu__actions__findAuditEntries__invoke (get-srvcs-cswy-ext-audit-trail-audit-trail-menu-actns-find-bd1a)
librechat-1  | Registered tool: GET::services__causeway.ext.auditTrail.AuditTrailMenu__actions__findMostRecent__invoke (get-srvcs-cswy-ext-audit-trail-audit-trail-menu-actns-find-a655)
librechat-1  | Registered tool: GET::objects__causeway.ext.commandLog.CommandLogEntry__---objectId (get-objcts-cswy-ext-cmmnd-log-cmmnd-log-entry-objct-id)
librechat-1  | Registered tool: GET::objects__causeway.ext.commandLog.CommandLogEntry__---objectId__actions__associatedUser__invoke (get-objcts-cswy-ext-cmmnd-log-cmmnd-log-entry-objct-id-actn-7f5a)
librechat-1  | Registered tool: PUT::objects__causeway.ext.commandLog.CommandLogEntry__---objectId__actions__clearHints__invoke (put-objcts-cswy-ext-cmmnd-log-cmmnd-log-entry-objct-id-actn-818c)
librechat-1  | Registered tool: GET::objects__causeway.ext.commandLog.CommandLogEntry__---objectId__actions__createdByCommand__invoke (get-objcts-cswy-ext-cmmnd-log-cmmnd-log-entry-objct-id-actn-eb99)
librechat-1  | Registered tool: GET::objects__causeway.ext.commandLog.CommandLogEntry__---objectId__actions__openResultObject__invoke (get-objcts-cswy-ext-cmmnd-log-cmmnd-log-entry-objct-id-actn-e292)
librechat-1  | Registered tool: GET::objects__causeway.ext.commandLog.CommandLogEntry__---objectId__actions__openTargetObject__invoke (get-objcts-cswy-ext-cmmnd-log-cmmnd-log-entry-objct-id-actn-292e)
librechat-1  | Registered tool: GET::objects__causeway.ext.commandLog.CommandLogEntry__---objectId__actions__recentAuditTrailEntries__invoke (get-objcts-cswy-ext-cmmnd-log-cmmnd-log-entry-objct-id-actn-f924)
librechat-1  | Registered tool: GET::objects__causeway.ext.commandLog.CommandLogEntry__---objectId__actions__recentCommands__invoke (get-objcts-cswy-ext-cmmnd-log-cmmnd-log-entry-objct-id-actn-82b2)
librechat-1  | Registered tool: GET::objects__causeway.ext.commandLog.CommandLogEntry__---objectId__actions__recentExecutions__invoke (get-objcts-cswy-ext-cmmnd-log-cmmnd-log-entry-objct-id-actn-6b12)
librechat-1  | Registered tool: GET::objects__causeway.ext.commandLog.CommandLogEntry__---objectId__collections__auditTrailEntries (get-objcts-cswy-ext-cmmnd-log-cmmnd-log-entry-objct-id-cllc-2166)
librechat-1  | Registered tool: GET::objects__causeway.ext.commandLog.CommandLogEntry__---objectId__collections__childCommands (get-objcts-cswy-ext-cmmnd-log-cmmnd-log-entry-objct-id-cllc-22af)
